Condition,Drug Name,Rating,Review,Side Effects,Useful Count
Tuberculosis,Rifampin,6.2,Caused side effects,"Liver damage, nausea, dizziness",351
Bronchitis,Dextromethorphan,1.6,Not effective,"Dizziness, dry mouth, fatigue",367
Liver Disease,Silymarin,8,Somewhat helpful,"Stomach pain, diarrhea, nausea",67
Kidney Stones,Tamsulosin,5.7,Highly recommended,"Dizziness, headache, nasal congestion",146
Stroke,Aspirin,3.7,Not effective,"Bleeding risk, stomach pain",369
Heart Disease,Atorvastatin,6.1,Not effective,"Muscle pain, liver issues, nausea",241
Alzheimer's,Donepezil,9.7,Caused side effects,"Nausea, insomnia, diarrhea",499
Anemia,Ferrous Sulfate,4.8,Somewhat helpful,"Constipation, nausea, black stools",441
Hypothyroidism,Levothyroxine,8.7,Caused side effects,"Weight loss, anxiety, nausea",471
Epilepsy,Carbamazepine,9.7,Highly recommended,"Dizziness, fatigue, liver problems",104
Diabetes,Metformin,5.8,Not effective,"Nausea, weight loss, dizziness",167
Hypertension,Lisinopril,5.7,Not effective,"Cough, dizziness, low blood pressure",450
Migraine,Sumatriptan,2.8,Highly recommended,"Nausea, dizziness, chest pain",47
Asthma,Albuterol,3,Very effective,"Tremors, nervousness, fast heartbeat",44
COVID-19,Remdesivir,4.8,Caused side effects,"Nausea, liver problems, rash",373
Flu,Tamiflu,3.4,Caused side effects,"Nausea, headache, dizziness",34
Depression,Sertraline,7,Very effective,"Drowsiness, weight gain, nausea",300
Arthritis,Ibuprofen,5.9,Somewhat helpful,"Stomach pain, nausea, ulcers",83
Pneumonia,Azithromycin,3.8,Very effective,"Diarrhea, stomach pain, nausea",128
Acid Reflux,Omeprazole,3.7,Highly recommended,"Stomach pain, bloating, dizziness",367
Tuberculosis,Rifampin,7.2,Caused side effects,"Liver damage, nausea, dizziness",74
Bronchitis,Dextromethorphan,9.2,Caused side effects,"Dizziness, dry mouth, fatigue",106
Liver Disease,Silymarin,1.2,Caused side effects,"Stomach pain, diarrhea, nausea",222
Kidney Stones,Tamsulosin,5.8,Caused side effects,"Dizziness, headache, nasal congestion",315
Stroke,Aspirin,6,Very effective,"Bleeding risk, stomach pain",155
Heart Disease,Atorvastatin,8.6,Caused side effects,"Muscle pain, liver issues, nausea",246
Alzheimer's,Donepezil,6.2,Highly recommended,"Nausea, insomnia, diarrhea",157
Anemia,Ferrous Sulfate,6.2,Somewhat helpful,"Constipation, nausea, black stools",80
Hypothyroidism,Levothyroxine,9.7,Not effective,"Weight loss, anxiety, nausea",478
Epilepsy,Carbamazepine,9.4,Somewhat helpful,"Dizziness, fatigue, liver problems",133
Diabetes,Metformin,2,Not effective,"Nausea, weight loss, dizziness",177
Hypertension,Lisinopril,7.5,Highly recommended,"Cough, dizziness, low blood pressure",238
Migraine,Sumatriptan,8,Caused side effects,"Nausea, dizziness, chest pain",362
Asthma,Albuterol,1.3,Not effective,"Tremors, nervousness, fast heartbeat",433
COVID-19,Remdesivir,7.7,Not effective,"Nausea, liver problems, rash",470
Flu,Tamiflu,3.8,Not effective,"Nausea, headache, dizziness",335
Depression,Sertraline,7.2,Highly recommended,"Drowsiness, weight gain, nausea",383
Arthritis,Ibuprofen,5.5,Not effective,"Stomach pain, nausea, ulcers",451
Pneumonia,Azithromycin,4.5,Very effective,"Diarrhea, stomach pain, nausea",432
Acid Reflux,Omeprazole,7.6,Somewhat helpful,"Stomach pain, bloating, dizziness",353
Tuberculosis,Rifampin,9.9,Somewhat helpful,"Liver damage, nausea, dizziness",418
Bronchitis,Dextromethorphan,9,Very effective,"Dizziness, dry mouth, fatigue",329
Liver Disease,Silymarin,3.1,Highly recommended,"Stomach pain, diarrhea, nausea",59
Kidney Stones,Tamsulosin,5.4,Highly recommended,"Dizziness, headache, nasal congestion",233
Stroke,Aspirin,7.3,Very effective,"Bleeding risk, stomach pain",288
Heart Disease,Atorvastatin,9.2,Not effective,"Muscle pain, liver issues, nausea",140
Alzheimer's,Donepezil,5.6,Caused side effects,"Nausea, insomnia, diarrhea",134
Anemia,Ferrous Sulfate,3,Highly recommended,"Constipation, nausea, black stools",379
Hypothyroidism,Levothyroxine,6.5,Caused side effects,"Weight loss, anxiety, nausea",465
Epilepsy,Carbamazepine,9.2,Highly recommended,"Dizziness, fatigue, liver problems",429
Diabetes,Metformin,1.5,Caused side effects,"Nausea, weight loss, dizziness",139
Hypertension,Lisinopril,5.5,Caused side effects,"Cough, dizziness, low blood pressure",275
Migraine,Sumatriptan,2.1,Highly recommended,"Nausea, dizziness, chest pain",87
Asthma,Albuterol,7.4,Not effective,"Tremors, nervousness, fast heartbeat",196
COVID-19,Remdesivir,6,Somewhat helpful,"Nausea, liver problems, rash",285
Flu,Tamiflu,4.4,Very effective,"Nausea, headache, dizziness",129
Depression,Sertraline,5.5,Very effective,"Drowsiness, weight gain, nausea",16
Arthritis,Ibuprofen,2.8,Highly recommended,"Stomach pain, nausea, ulcers",405
Pneumonia,Azithromycin,3.9,Not effective,"Diarrhea, stomach pain, nausea",180
Acid Reflux,Omeprazole,8,Not effective,"Stomach pain, bloating, dizziness",225
Tuberculosis,Rifampin,8,Very effective,"Liver damage, nausea, dizziness",500
Bronchitis,Dextromethorphan,8.2,Not effective,"Dizziness, dry mouth, fatigue",184
Liver Disease,Silymarin,7.2,Highly recommended,"Stomach pain, diarrhea, nausea",393
Kidney Stones,Tamsulosin,4.9,Very effective,"Dizziness, headache, nasal congestion",406
Stroke,Aspirin,3.5,Not effective,"Bleeding risk, stomach pain",427
Heart Disease,Atorvastatin,6.7,Highly recommended,"Muscle pain, liver issues, nausea",108
Alzheimer's,Donepezil,4.5,Highly recommended,"Nausea, insomnia, diarrhea",209
Anemia,Ferrous Sulfate,6.5,Not effective,"Constipation, nausea, black stools",116
Hypothyroidism,Levothyroxine,2.6,Very effective,"Weight loss, anxiety, nausea",460
Epilepsy,Carbamazepine,3.6,Not effective,"Dizziness, fatigue, liver problems",312
Diabetes,Metformin,5.3,Caused side effects,"Nausea, weight loss, dizziness",109
Hypertension,Lisinopril,7.3,Very effective,"Cough, dizziness, low blood pressure",410
Migraine,Sumatriptan,1,Not effective,"Nausea, dizziness, chest pain",92
Asthma,Albuterol,5,Very effective,"Tremors, nervousness, fast heartbeat",240
COVID-19,Remdesivir,2.6,Highly recommended,"Nausea, liver problems, rash",158
Flu,Tamiflu,1.6,Caused side effects,"Nausea, headache, dizziness",164
Depression,Sertraline,8.8,Somewhat helpful,"Drowsiness, weight gain, nausea",103
Arthritis,Ibuprofen,1.6,Very effective,"Stomach pain, nausea, ulcers",340
Pneumonia,Azithromycin,6.5,Highly recommended,"Diarrhea, stomach pain, nausea",246
Acid Reflux,Omeprazole,1.4,Highly recommended,"Stomach pain, bloating, dizziness",24
Tuberculosis,Rifampin,4,Somewhat helpful,"Liver damage, nausea, dizziness",249
Bronchitis,Dextromethorphan,4.8,Very effective,"Dizziness, dry mouth, fatigue",211
Liver Disease,Silymarin,4,Highly recommended,"Stomach pain, diarrhea, nausea",19
Kidney Stones,Tamsulosin,1.5,Very effective,"Dizziness, headache, nasal congestion",55
Stroke,Aspirin,2.7,Somewhat helpful,"Bleeding risk, stomach pain",382
Heart Disease,Atorvastatin,7.3,Caused side effects,"Muscle pain, liver issues, nausea",448
Alzheimer's,Donepezil,3.8,Caused side effects,"Nausea, insomnia, diarrhea",215
Anemia,Ferrous Sulfate,9.5,Very effective,"Constipation, nausea, black stools",316
Hypothyroidism,Levothyroxine,2.3,Very effective,"Weight loss, anxiety, nausea",306
Epilepsy,Carbamazepine,8.6,Highly recommended,"Dizziness, fatigue, liver problems",264
Diabetes,Metformin,5.7,Very effective,"Nausea, weight loss, dizziness",32
Hypertension,Lisinopril,2.4,Caused side effects,"Cough, dizziness, low blood pressure",387
Migraine,Sumatriptan,7.4,Very effective,"Nausea, dizziness, chest pain",268
Asthma,Albuterol,4.9,Highly recommended,"Tremors, nervousness, fast heartbeat",402
COVID-19,Remdesivir,9.4,Highly recommended,"Nausea, liver problems, rash",64
Flu,Tamiflu,5.2,Not effective,"Nausea, headache, dizziness",465
Depression,Sertraline,8.5,Caused side effects,"Drowsiness, weight gain, nausea",229
Arthritis,Ibuprofen,9.3,Very effective,"Stomach pain, nausea, ulcers",292
Pneumonia,Azithromycin,9.8,Not effective,"Diarrhea, stomach pain, nausea",294
Acid Reflux,Omeprazole,5.2,Not effective,"Stomach pain, bloating, dizziness",481
Tuberculosis,Rifampin,3.9,Very effective,"Liver damage, nausea, dizziness",374
Bronchitis,Dextromethorphan,6.9,Highly recommended,"Dizziness, dry mouth, fatigue",107
Liver Disease,Silymarin,6.7,Highly recommended,"Stomach pain, diarrhea, nausea",95
Kidney Stones,Tamsulosin,9,Somewhat helpful,"Dizziness, headache, nasal congestion",215
Stroke,Aspirin,3.4,Caused side effects,"Bleeding risk, stomach pain",373
Heart Disease,Atorvastatin,9.6,Somewhat helpful,"Muscle pain, liver issues, nausea",216
Alzheimer's,Donepezil,6.3,Somewhat helpful,"Nausea, insomnia, diarrhea",334
Anemia,Ferrous Sulfate,4.5,Very effective,"Constipation, nausea, black stools",358
Hypothyroidism,Levothyroxine,6.9,Somewhat helpful,"Weight loss, anxiety, nausea",65
Epilepsy,Carbamazepine,6.6,Highly recommended,"Dizziness, fatigue, liver problems",54
Diabetes,Metformin,1.7,Caused side effects,"Nausea, weight loss, dizziness",279
Hypertension,Lisinopril,2.7,Somewhat helpful,"Cough, dizziness, low blood pressure",103
Migraine,Sumatriptan,1.7,Not effective,"Nausea, dizziness, chest pain",336
Asthma,Albuterol,2.3,Very effective,"Tremors, nervousness, fast heartbeat",278
COVID-19,Remdesivir,5.8,Somewhat helpful,"Nausea, liver problems, rash",419
Flu,Tamiflu,4.4,Highly recommended,"Nausea, headache, dizziness",287
Depression,Sertraline,1.9,Somewhat helpful,"Drowsiness, weight gain, nausea",465
Arthritis,Ibuprofen,7.7,Highly recommended,"Stomach pain, nausea, ulcers",17
Pneumonia,Azithromycin,9.4,Very effective,"Diarrhea, stomach pain, nausea",163
Acid Reflux,Omeprazole,9.6,Somewhat helpful,"Stomach pain, bloating, dizziness",186
Tuberculosis,Rifampin,3.9,Very effective,"Liver damage, nausea, dizziness",494
Bronchitis,Dextromethorphan,9.6,Caused side effects,"Dizziness, dry mouth, fatigue",156
Liver Disease,Silymarin,9.4,Very effective,"Stomach pain, diarrhea, nausea",342
Kidney Stones,Tamsulosin,4.4,Caused side effects,"Dizziness, headache, nasal congestion",180
Stroke,Aspirin,1.8,Very effective,"Bleeding risk, stomach pain",403
Heart Disease,Atorvastatin,2.4,Caused side effects,"Muscle pain, liver issues, nausea",328
Alzheimer's,Donepezil,1.9,Very effective,"Nausea, insomnia, diarrhea",450
Anemia,Ferrous Sulfate,7.7,Highly recommended,"Constipation, nausea, black stools",254
Hypothyroidism,Levothyroxine,2.5,Very effective,"Weight loss, anxiety, nausea",419
Epilepsy,Carbamazepine,2.9,Somewhat helpful,"Dizziness, fatigue, liver problems",473
Diabetes,Metformin,5.7,Highly recommended,"Nausea, weight loss, dizziness",280
Hypertension,Lisinopril,4.5,Caused side effects,"Cough, dizziness, low blood pressure",109
Migraine,Sumatriptan,1,Not effective,"Nausea, dizziness, chest pain",151
Asthma,Albuterol,9,Caused side effects,"Tremors, nervousness, fast heartbeat",142
COVID-19,Remdesivir,8.1,Highly recommended,"Nausea, liver problems, rash",463
Flu,Tamiflu,2,Highly recommended,"Nausea, headache, dizziness",287
Depression,Sertraline,5.4,Very effective,"Drowsiness, weight gain, nausea",176
Arthritis,Ibuprofen,1.9,Not effective,"Stomach pain, nausea, ulcers",316
Pneumonia,Azithromycin,4.3,Not effective,"Diarrhea, stomach pain, nausea",390
Acid Reflux,Omeprazole,4.2,Highly recommended,"Stomach pain, bloating, dizziness",149
Tuberculosis,Rifampin,4.5,Very effective,"Liver damage, nausea, dizziness",171
Bronchitis,Dextromethorphan,4.5,Very effective,"Dizziness, dry mouth, fatigue",426
Liver Disease,Silymarin,3.3,Caused side effects,"Stomach pain, diarrhea, nausea",277
Kidney Stones,Tamsulosin,5.8,Highly recommended,"Dizziness, headache, nasal congestion",193
Stroke,Aspirin,8.7,Very effective,"Bleeding risk, stomach pain",366
Heart Disease,Atorvastatin,5.9,Caused side effects,"Muscle pain, liver issues, nausea",418
Alzheimer's,Donepezil,4,Caused side effects,"Nausea, insomnia, diarrhea",500
Anemia,Ferrous Sulfate,6.1,Somewhat helpful,"Constipation, nausea, black stools",263
Hypothyroidism,Levothyroxine,2.4,Highly recommended,"Weight loss, anxiety, nausea",218
Epilepsy,Carbamazepine,9.7,Very effective,"Dizziness, fatigue, liver problems",13
Diabetes,Metformin,1.9,Highly recommended,"Nausea, weight loss, dizziness",246
Hypertension,Lisinopril,9.9,Not effective,"Cough, dizziness, low blood pressure",318
Migraine,Sumatriptan,2,Highly recommended,"Nausea, dizziness, chest pain",22
Asthma,Albuterol,4.2,Somewhat helpful,"Tremors, nervousness, fast heartbeat",454
COVID-19,Remdesivir,5.1,Very effective,"Nausea, liver problems, rash",482
Flu,Tamiflu,3.5,Somewhat helpful,"Nausea, headache, dizziness",334
Depression,Sertraline,9.7,Very effective,"Drowsiness, weight gain, nausea",410
Arthritis,Ibuprofen,1.5,Somewhat helpful,"Stomach pain, nausea, ulcers",84
Pneumonia,Azithromycin,5.1,Very effective,"Diarrhea, stomach pain, nausea",473
Acid Reflux,Omeprazole,4,Not effective,"Stomach pain, bloating, dizziness",411
Tuberculosis,Rifampin,6.9,Very effective,"Liver damage, nausea, dizziness",440
Bronchitis,Dextromethorphan,3.3,Very effective,"Dizziness, dry mouth, fatigue",368
Liver Disease,Silymarin,9.7,Highly recommended,"Stomach pain, diarrhea, nausea",385
Kidney Stones,Tamsulosin,6.9,Highly recommended,"Dizziness, headache, nasal congestion",315
Stroke,Aspirin,7.6,Caused side effects,"Bleeding risk, stomach pain",31
Heart Disease,Atorvastatin,6.3,Very effective,"Muscle pain, liver issues, nausea",478
Alzheimer's,Donepezil,4.7,Not effective,"Nausea, insomnia, diarrhea",138
Anemia,Ferrous Sulfate,9.5,Very effective,"Constipation, nausea, black stools",176
Hypothyroidism,Levothyroxine,8,Somewhat helpful,"Weight loss, anxiety, nausea",493
Epilepsy,Carbamazepine,2.3,Not effective,"Dizziness, fatigue, liver problems",428
Diabetes,Metformin,2.9,Very effective,"Nausea, weight loss, dizziness",294
Hypertension,Lisinopril,3.2,Highly recommended,"Cough, dizziness, low blood pressure",202
Migraine,Sumatriptan,4.8,Not effective,"Nausea, dizziness, chest pain",422
Asthma,Albuterol,4.2,Highly recommended,"Tremors, nervousness, fast heartbeat",186
COVID-19,Remdesivir,2.6,Caused side effects,"Nausea, liver problems, rash",273
Flu,Tamiflu,6.9,Caused side effects,"Nausea, headache, dizziness",43
Depression,Sertraline,5.6,Somewhat helpful,"Drowsiness, weight gain, nausea",370
Arthritis,Ibuprofen,9.6,Highly recommended,"Stomach pain, nausea, ulcers",269
Pneumonia,Azithromycin,6.3,Very effective,"Diarrhea, stomach pain, nausea",169
Acid Reflux,Omeprazole,9.7,Somewhat helpful,"Stomach pain, bloating, dizziness",125
Tuberculosis,Rifampin,3,Very effective,"Liver damage, nausea, dizziness",271
Bronchitis,Dextromethorphan,3.7,Somewhat helpful,"Dizziness, dry mouth, fatigue",352
Liver Disease,Silymarin,6.7,Very effective,"Stomach pain, diarrhea, nausea",313
Kidney Stones,Tamsulosin,9.2,Caused side effects,"Dizziness, headache, nasal congestion",35
Stroke,Aspirin,4.3,Very effective,"Bleeding risk, stomach pain",467
Heart Disease,Atorvastatin,2.1,Highly recommended,"Muscle pain, liver issues, nausea",156
Alzheimer's,Donepezil,5.1,Very effective,"Nausea, insomnia, diarrhea",218
Anemia,Ferrous Sulfate,6.6,Highly recommended,"Constipation, nausea, black stools",160
Hypothyroidism,Levothyroxine,1.1,Highly recommended,"Weight loss, anxiety, nausea",467
Epilepsy,Carbamazepine,8.3,Very effective,"Dizziness, fatigue, liver problems",98
Diabetes,Metformin,9,Highly recommended,"Nausea, weight loss, dizziness",108
Hypertension,Lisinopril,3.8,Highly recommended,"Cough, dizziness, low blood pressure",234
Migraine,Sumatriptan,2.6,Caused side effects,"Nausea, dizziness, chest pain",113
Asthma,Albuterol,4.1,Not effective,"Tremors, nervousness, fast heartbeat",96
COVID-19,Remdesivir,4.7,Not effective,"Nausea, liver problems, rash",224
Flu,Tamiflu,8.8,Highly recommended,"Nausea, headache, dizziness",162
Depression,Sertraline,7.9,Not effective,"Drowsiness, weight gain, nausea",444
Arthritis,Ibuprofen,8.9,Caused side effects,"Stomach pain, nausea, ulcers",73
Pneumonia,Azithromycin,7.1,Caused side effects,"Diarrhea, stomach pain, nausea",147
Acid Reflux,Omeprazole,6.8,Highly recommended,"Stomach pain, bloating, dizziness",132
Tuberculosis,Rifampin,9.8,Not effective,"Liver damage, nausea, dizziness",301
Bronchitis,Dextromethorphan,3.7,Very effective,"Dizziness, dry mouth, fatigue",196
Liver Disease,Silymarin,4.9,Not effective,"Stomach pain, diarrhea, nausea",60
Kidney Stones,Tamsulosin,8.5,Highly recommended,"Dizziness, headache, nasal congestion",231
Stroke,Aspirin,7.1,Highly recommended,"Bleeding risk, stomach pain",358
Heart Disease,Atorvastatin,6.7,Caused side effects,"Muscle pain, liver issues, nausea",445
Alzheimer's,Donepezil,3.7,Not effective,"Nausea, insomnia, diarrhea",459
Anemia,Ferrous Sulfate,3.1,Highly recommended,"Constipation, nausea, black stools",32
Hypothyroidism,Levothyroxine,7.7,Caused side effects,"Weight loss, anxiety, nausea",346
Epilepsy,Carbamazepine,7.9,Not effective,"Dizziness, fatigue, liver problems",283
Diabetes,Metformin,4.8,Not effective,"Nausea, weight loss, dizziness",235
Hypertension,Lisinopril,4.9,Caused side effects,"Cough, dizziness, low blood pressure",334
Migraine,Sumatriptan,3.9,Very effective,"Nausea, dizziness, chest pain",389
Asthma,Albuterol,5.2,Caused side effects,"Tremors, nervousness, fast heartbeat",116
COVID-19,Remdesivir,5.1,Not effective,"Nausea, liver problems, rash",446
Flu,Tamiflu,2.3,Highly recommended,"Nausea, headache, dizziness",100
Depression,Sertraline,1.8,Caused side effects,"Drowsiness, weight gain, nausea",81
Arthritis,Ibuprofen,1.5,Caused side effects,"Stomach pain, nausea, ulcers",304
Pneumonia,Azithromycin,2.1,Not effective,"Diarrhea, stomach pain, nausea",409
Acid Reflux,Omeprazole,4.1,Not effective,"Stomach pain, bloating, dizziness",376
Tuberculosis,Rifampin,9.6,Caused side effects,"Liver damage, nausea, dizziness",124
Bronchitis,Dextromethorphan,2.1,Somewhat helpful,"Dizziness, dry mouth, fatigue",296
Liver Disease,Silymarin,10,Somewhat helpful,"Stomach pain, diarrhea, nausea",128
Kidney Stones,Tamsulosin,1.1,Very effective,"Dizziness, headache, nasal congestion",336
Stroke,Aspirin,1.8,Highly recommended,"Bleeding risk, stomach pain",392
Heart Disease,Atorvastatin,6.8,Highly recommended,"Muscle pain, liver issues, nausea",74
Alzheimer's,Donepezil,6.2,Not effective,"Nausea, insomnia, diarrhea",26
Anemia,Ferrous Sulfate,6.4,Highly recommended,"Constipation, nausea, black stools",110
Hypothyroidism,Levothyroxine,9.3,Somewhat helpful,"Weight loss, anxiety, nausea",239
Epilepsy,Carbamazepine,9,Highly recommended,"Dizziness, fatigue, liver problems",334
Diabetes,Metformin,4.3,Somewhat helpful,"Nausea, weight loss, dizziness",430
Hypertension,Lisinopril,9.9,Very effective,"Cough, dizziness, low blood pressure",304
Migraine,Sumatriptan,7.7,Not effective,"Nausea, dizziness, chest pain",96
Asthma,Albuterol,4,Somewhat helpful,"Tremors, nervousness, fast heartbeat",283
COVID-19,Remdesivir,6.5,Caused side effects,"Nausea, liver problems, rash",465
Flu,Tamiflu,1.2,Caused side effects,"Nausea, headache, dizziness",456
Depression,Sertraline,2.9,Caused side effects,"Drowsiness, weight gain, nausea",329
Arthritis,Ibuprofen,6.3,Not effective,"Stomach pain, nausea, ulcers",297
Pneumonia,Azithromycin,8.2,Highly recommended,"Diarrhea, stomach pain, nausea",466
Acid Reflux,Omeprazole,8.6,Caused side effects,"Stomach pain, bloating, dizziness",190
Tuberculosis,Rifampin,3.3,Caused side effects,"Liver damage, nausea, dizziness",297
Bronchitis,Dextromethorphan,9.7,Very effective,"Dizziness, dry mouth, fatigue",255
Liver Disease,Silymarin,9.1,Caused side effects,"Stomach pain, diarrhea, nausea",162
Kidney Stones,Tamsulosin,3.9,Highly recommended,"Dizziness, headache, nasal congestion",14
Stroke,Aspirin,3.3,Highly recommended,"Bleeding risk, stomach pain",77
Heart Disease,Atorvastatin,6.5,Very effective,"Muscle pain, liver issues, nausea",29
Alzheimer's,Donepezil,9.7,Very effective,"Nausea, insomnia, diarrhea",132
Anemia,Ferrous Sulfate,8.8,Highly recommended,"Constipation, nausea, black stools",330
Hypothyroidism,Levothyroxine,6.2,Very effective,"Weight loss, anxiety, nausea",270
Epilepsy,Carbamazepine,6.4,Very effective,"Dizziness, fatigue, liver problems",210
Diabetes,Metformin,9.4,Caused side effects,"Nausea, weight loss, dizziness",273
Hypertension,Lisinopril,9.9,Very effective,"Cough, dizziness, low blood pressure",175
Migraine,Sumatriptan,2.6,Not effective,"Nausea, dizziness, chest pain",403
Asthma,Albuterol,8.2,Caused side effects,"Tremors, nervousness, fast heartbeat",332
COVID-19,Remdesivir,3.5,Caused side effects,"Nausea, liver problems, rash",74
Flu,Tamiflu,5.4,Not effective,"Nausea, headache, dizziness",172
Depression,Sertraline,1.9,Very effective,"Drowsiness, weight gain, nausea",491
Arthritis,Ibuprofen,2.1,Caused side effects,"Stomach pain, nausea, ulcers",21
Pneumonia,Azithromycin,7.5,Caused side effects,"Diarrhea, stomach pain, nausea",345
Acid Reflux,Omeprazole,8.4,Caused side effects,"Stomach pain, bloating, dizziness",10
Tuberculosis,Rifampin,8.9,Very effective,"Liver damage, nausea, dizziness",43
Bronchitis,Dextromethorphan,9.1,Highly recommended,"Dizziness, dry mouth, fatigue",438
Liver Disease,Silymarin,3.4,Somewhat helpful,"Stomach pain, diarrhea, nausea",307
Kidney Stones,Tamsulosin,1.9,Caused side effects,"Dizziness, headache, nasal congestion",348
Stroke,Aspirin,3.6,Not effective,"Bleeding risk, stomach pain",421
Heart Disease,Atorvastatin,5.6,Highly recommended,"Muscle pain, liver issues, nausea",21
Alzheimer's,Donepezil,1.2,Highly recommended,"Nausea, insomnia, diarrhea",464
Anemia,Ferrous Sulfate,3.5,Very effective,"Constipation, nausea, black stools",329
Hypothyroidism,Levothyroxine,4.8,Not effective,"Weight loss, anxiety, nausea",131
Epilepsy,Carbamazepine,2.2,Not effective,"Dizziness, fatigue, liver problems",333
Diabetes,Metformin,9.6,Not effective,"Nausea, weight loss, dizziness",492
Hypertension,Lisinopril,2.5,Not effective,"Cough, dizziness, low blood pressure",370
Migraine,Sumatriptan,2.1,Very effective,"Nausea, dizziness, chest pain",108
Asthma,Albuterol,2.7,Highly recommended,"Tremors, nervousness, fast heartbeat",347
COVID-19,Remdesivir,1.8,Highly recommended,"Nausea, liver problems, rash",238
Flu,Tamiflu,6.7,Caused side effects,"Nausea, headache, dizziness",183
Depression,Sertraline,6.2,Not effective,"Drowsiness, weight gain, nausea",61
Arthritis,Ibuprofen,1.9,Somewhat helpful,"Stomach pain, nausea, ulcers",327
Pneumonia,Azithromycin,5.2,Very effective,"Diarrhea, stomach pain, nausea",439
Acid Reflux,Omeprazole,3.3,Highly recommended,"Stomach pain, bloating, dizziness",441
Tuberculosis,Rifampin,2.4,Highly recommended,"Liver damage, nausea, dizziness",313
Bronchitis,Dextromethorphan,3,Not effective,"Dizziness, dry mouth, fatigue",463
Liver Disease,Silymarin,1.8,Caused side effects,"Stomach pain, diarrhea, nausea",306
Kidney Stones,Tamsulosin,7.8,Not effective,"Dizziness, headache, nasal congestion",324
Stroke,Aspirin,2.4,Highly recommended,"Bleeding risk, stomach pain",303
Heart Disease,Atorvastatin,7.5,Somewhat helpful,"Muscle pain, liver issues, nausea",131
Alzheimer's,Donepezil,8.7,Not effective,"Nausea, insomnia, diarrhea",232
Anemia,Ferrous Sulfate,6.1,Somewhat helpful,"Constipation, nausea, black stools",307
Hypothyroidism,Levothyroxine,4.7,Caused side effects,"Weight loss, anxiety, nausea",318
Epilepsy,Carbamazepine,6,Highly recommended,"Dizziness, fatigue, liver problems",425
Diabetes,Metformin,8.7,Somewhat helpful,"Nausea, weight loss, dizziness",331
Hypertension,Lisinopril,8.7,Caused side effects,"Cough, dizziness, low blood pressure",70
Migraine,Sumatriptan,5.7,Caused side effects,"Nausea, dizziness, chest pain",199
Asthma,Albuterol,8,Caused side effects,"Tremors, nervousness, fast heartbeat",469
COVID-19,Remdesivir,2.8,Not effective,"Nausea, liver problems, rash",353
Flu,Tamiflu,8.2,Not effective,"Nausea, headache, dizziness",102
Depression,Sertraline,3,Very effective,"Drowsiness, weight gain, nausea",468
Arthritis,Ibuprofen,4.8,Somewhat helpful,"Stomach pain, nausea, ulcers",398
Pneumonia,Azithromycin,5.3,Somewhat helpful,"Diarrhea, stomach pain, nausea",269
Acid Reflux,Omeprazole,5.8,Not effective,"Stomach pain, bloating, dizziness",174
Tuberculosis,Rifampin,4.7,Caused side effects,"Liver damage, nausea, dizziness",136
Bronchitis,Dextromethorphan,3.8,Somewhat helpful,"Dizziness, dry mouth, fatigue",311
Liver Disease,Silymarin,6,Caused side effects,"Stomach pain, diarrhea, nausea",69
Kidney Stones,Tamsulosin,8.7,Highly recommended,"Dizziness, headache, nasal congestion",458
Stroke,Aspirin,1.9,Caused side effects,"Bleeding risk, stomach pain",33
Heart Disease,Atorvastatin,4.5,Not effective,"Muscle pain, liver issues, nausea",189
Alzheimer's,Donepezil,5.4,Very effective,"Nausea, insomnia, diarrhea",81
Anemia,Ferrous Sulfate,4,Caused side effects,"Constipation, nausea, black stools",203
Hypothyroidism,Levothyroxine,7,Caused side effects,"Weight loss, anxiety, nausea",130
Epilepsy,Carbamazepine,4.5,Very effective,"Dizziness, fatigue, liver problems",277
Diabetes,Metformin,7.5,Not effective,"Nausea, weight loss, dizziness",489
Hypertension,Lisinopril,9.6,Not effective,"Cough, dizziness, low blood pressure",358
Migraine,Sumatriptan,9.6,Not effective,"Nausea, dizziness, chest pain",415
Asthma,Albuterol,5.9,Caused side effects,"Tremors, nervousness, fast heartbeat",326
COVID-19,Remdesivir,8.5,Very effective,"Nausea, liver problems, rash",422
Flu,Tamiflu,3,Highly recommended,"Nausea, headache, dizziness",285
Depression,Sertraline,4.8,Caused side effects,"Drowsiness, weight gain, nausea",320
Arthritis,Ibuprofen,3.7,Very effective,"Stomach pain, nausea, ulcers",251
Pneumonia,Azithromycin,2.8,Not effective,"Diarrhea, stomach pain, nausea",360
Acid Reflux,Omeprazole,3.7,Somewhat helpful,"Stomach pain, bloating, dizziness",110
Tuberculosis,Rifampin,2.4,Highly recommended,"Liver damage, nausea, dizziness",477
Bronchitis,Dextromethorphan,2.5,Caused side effects,"Dizziness, dry mouth, fatigue",367
Liver Disease,Silymarin,1.6,Somewhat helpful,"Stomach pain, diarrhea, nausea",459
Kidney Stones,Tamsulosin,9.7,Very effective,"Dizziness, headache, nasal congestion",445
Stroke,Aspirin,2.3,Somewhat helpful,"Bleeding risk, stomach pain",219
Heart Disease,Atorvastatin,2.6,Not effective,"Muscle pain, liver issues, nausea",10
Alzheimer's,Donepezil,8.4,Very effective,"Nausea, insomnia, diarrhea",228
Anemia,Ferrous Sulfate,3.8,Caused side effects,"Constipation, nausea, black stools",233
Hypothyroidism,Levothyroxine,5.2,Somewhat helpful,"Weight loss, anxiety, nausea",444
